Location,Province,State,Hewett_Sample_Number,Mine,USGS_Sample_ID,Mineral,Additional_Descriptions,Selected_References,Collector,Latitude,Longitude,WGS84_Coordinate_Source,MRDS_Record_ID,PLSS,Sample_Type,Label_Origin,Mn_Oxide_Dominant,Mn_Min_Vol_Estimate,Mass_kilograms,Mass_grams,Cabinet_Letter,Drawer_Number,,
Stanislaus County,,California,Cal-50,Buckeye Mine,MC0636,,,,,37.52714,-121.39546,MRDS,10033644,,Reference Hand Sample(s),Rock Bag,N,35,1.084,"1,084",F,F3,,
Stanislaus County,,California,Cal-62,Buckeye Mine,MC0638,,,,,37.52714,-121.39546,MRDS,10033644,,Reference Hand Sample(s),Rock Bag,Y,60,1.056,"1,056",F,F3,,
Stanislaus County,,California,Cal-62,Buckeye Mine,MC0639,,,,,37.52714,-121.39546,MRDS,10033644,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,1.376,"1,376",F,F3,,
Trinity County,,California,Cal-34,Hale Creek Mine,MC0641,,,,M.D. Crittenden,40.36596,-123.46862,MRDS,10109405,,Reference Hand Sample(s),Rock Bag,N,25,0.95,950,F,F3,,
Trinity County,,California,Cal-34,Hale Creek Mine,MC0642,,,,,40.36596,-123.46862,MRDS,10109405,,Reference Hand Sample(s),Rock Bag,N,30,1.038,"1,038",F,F3,,
Trinity County,,California,Cal-34,Hale Creek Mine,MC0643,,,,M.D. Crittenden,40.36596,-123.46862,MRDS,10109405,,Reference Hand Sample(s),Rock Bag,N,45,1.468,"1,468",F,F3,,
Inyo County,,California,Cal-22,Lillie Mine,MC0644,,,,,35.80558,-117.28809,MRDS,10139606,,Reference Hand Sample(s),Rock Bag,Y,70,1.278,"1,278",F,F3,,
Trinity County,,California,Cal-33,Blue Jay Mine,MC0645,,,,M.D. Crittenden,40.11235,-123.24611,MRDS,10214554,,Reference Hand Sample(s),Rock Bag,Y,55,1.548,"1,548",F,F4,,
Trinity County,,California,Cal-33,Blue Jay Mine,MC0647,,,,M.D. Crittenden,40.11235,-123.24611,MRDS,10214554,,Reference Hand Sample(s),Rock Bag,Y,50,0.774,774,F,F4,,
Mariposa County,,California,Cal-25,Caldwell Mine,MC0649,,,,,37.68075,-120.28127,MRDS,10030814,,Reference Hand Sample(s),Rock Bag,Y,60,1.892,"1,892",F,F4,,
Mariposa County,,California,Cal-25,Caldwell Mine,MC0651,,,,,37.68075,-120.28127,MRDS,10030814,,Reference Hand Sample(s),Rock Bag,N,40,0.628,628,F,F4,,
Lunenburg County,Nova Scotia,,C-11,New Ross Manganese Mine,MC0654,,,Reference_10,D.G. Bishop,44.85128,-64.44418,NCAT,,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,0.28,280,F,F4,,
Colchester County,Nova Scotia,,C-5,,MC0656,,"Black Rock community in Truro, Colchester County, Nova Scotia, Canada",Reference_6,,45.31654,-63.47751,NCAT,,,Reference Hand Sample(s),Rock Bag,Y,65,0.87,870,F,F4,,
Hants County,Nova Scotia,,C-18,Magnet Cove,MC0661,,,Reference_10,,45.20655,-64.04202,NCAT,,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,80,1.296,"1,296",F,F5,,
Haida Gwaii,British Columbia,,C-3,Shag Rock Deposit,MC0663,,"Queen Charlotte, Victoria, British Columbia",Reference_19,I.M. Sherwin,54.14666,-132.65836,NCAT,,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,N,45,1.054,"1,054",F,F5,,
Haida Gwaii,British Columbia,,C-3,Shag Rock Deposit,MC0664,,"Queen Charlotte, Victoria, British Columbia",Reference_19,I.M. Sherwin,54.14666,-132.65836,NCAT,,,Reference Hand Sample(s),Rock Bag,Y,70,0.836,836,F,F5,,
Lunenburg County,Nova Scotia,,C-15,New Ross Manganese Mine,MC0666,,Ore from Marpic Shaft in New Ross Mine.,Reference_10,,44.85128,-64.44418,NCAT,,,Reference Hand Sample(s),Rock Bag,Y,50,1.388,"1,388",F,F5,,
Lunenburg County,Nova Scotia,,C-15,New Ross Manganese Mine,MC0667,,Ore from Marpic Shaft in New Ross Mine.,Reference_10,,44.85128,-64.44418,NCAT,,,"Reference Hand Sample(s),Powder,Sand",Rock Bag,Y,75,1.236,"1,236",F,F5,,
Halifax County,Nova Scotia,,C-6,Lake Charlotte,MC0669,,,Reference_8,,44.76957,-62.92312,NCAT,,,"Reference Hand Sample(s),Powder",Rock Bag,Y,90,0.154,154,F,F6,,
White Pine County,,Nevada,LU-3,Siegal Mine,MC0676,,,,,39.72882,-114.60892,MRDS,10037249,,Reference Hand Sample(s),Rock Bag,Y,60,2.578,"2,578",F,F6,,
White Pine County,,Nevada,LU-3,Siegal Mine,MC0677,,,,,39.72882,-114.60892,MRDS,10037249,,Reference Hand Sample(s),Rock Bag,Y,55,0.236,236,F,F6,,
Mariposa County,,California,Cal-25,Caldwell Mine,MC0679,,,,,37.68075,-120.28127,MRDS,10030814,,Reference Hand Sample(s),Rock Bag,Y,55,3.176,"3,176",F,F6,,
Mariposa County,,California,Cal-25,Caldwell Mine,MC0680,,,,,37.68075,-120.28127,MRDS,10030814,,"Reference Hand Sample(s),Powder",Rock Bag,Y,55,0.626,626,F,F6,,
Argentina,Salta,,SA-10,Ochaqui Mine,MC0682,,,,,-24.94527,-66.83084,MRDS,10005282,,Reference Hand Sample(s),Rock Bag,Y,60,0.822,822,F,F6,,
Argentina,Cordoba,,SA-41,Piedra Pintada,MC0685,,Piedra Pintada is a maganese deposit in the Ambargasta formation.,,,-29.44744,-64.03265,MRDS,60001312,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,80,1.09,"1,090",G,G1,,
Argentina,Santiago Del Estero,,SA-4,"""La Santiagueña""",MC0687,,,,,-29.44744,-64.03265,MRDS,60001312,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,0.052,52,G,G1,,
Aguada,,Puerto Rico,SA-18,Aguada,MC0689,,,,W.D. Noble,18.36316,-67.1717,MRDS,10085418,,Reference Hand Sample(s),Rock Bag,Y,50,0.038,38,G,G1,,
Brazil,,Amapá,SA-28,Serra Do Navio,MC0690,,"""Serra Do Navio MINE T-6 DH68 189.3-199.0 m(1/2)"" is listed on sample tag.",,,0.92654,-52.01587,MRDS,10182216,,Core Sample(s),Rock Bag,N,25,0.316,316,G,G1,,
Brazil,,Amapá,SA-29,Serra Do Navio,MC0691,,"""Serra Do Navio MINE T-6 DH68 189.3-199.0 m(1/2)"" is listed on sample tag.",,,0.92654,-52.01587,MRDS,10182216,,Core Sample(s),Rock Bag,N,10,0.354,354,G,G1,,
Columbia,,Antioquia,SA-17,Las Mercedes Mine,MC0693,,Las Mercedes #1 Deposit,,,5.88459,-75.58301,MRDS,10132964,,Reference Hand Sample(s),Rock Bag,Y,55,0.038,38,G,G1,,
Costa Rica,Guanacaste,,SA-19,,MC0695,,Cerro Grande Occurance,,,10.13164,-84.4444,MRDS,10007852,,Reference Hand Sample(s),Rock Bag,Y,50,0.374,374,G,G1,,
Argentina,La Quiaca,,SA-9,Tafna Mine,MC0698,,,,,-22.13087,-65.68276,MRDS,10097627,,Reference Hand Sample(s),Rock Bag,Y,65,0.818,818,G,G1,,
Chile,La Serena,,SA-24,Alto San Luis Mine,MC0699,,,,"C.F. Park, Jr.",-29.69079,-71.12121,MRDS,10060104,,Reference Hand Sample(s),Rock Bag,Y,50,0.43,430,G,G1,,
Argentina,Chubut,Biedma,LU-9,Arroyo Verde Deposit,MC0703,,"""Arroyo Verde 32 Formation, Chubut Province, Argentina"" -Hewett lab report",Reference_23,,-42.01667,-65.33333,NCAT,,,"Reference Hand Sample(s),Powder",Rock Bag,Y,80,0.244,244,G,G2,,
Bolivia,Rafeal Bustillo ,,,Siglo XX,MC0704,,Uncía Hot Spring Deposit,,, -18.44207,-66.60364,MRDS,10068804,,Reference Hand Sample(s),Rock Bag,N,35,0.198,198,G,G2,,
Argentina,Mendoza,,M-30,Santa Cruz Mine,MC0705,,,,,-35.96415,-68.38276,MRDS,10004975,,Reference Hand Sample(s),Rock Bag,Y,70,0.116,116,G,G2,,
Puerto Rico,,,SA-43,,MC0706,,"Aguada, Puerto Rico",,W.D. Noble,18.36316,-67.1717,MRDS,10085418,,Reference Hand Sample(s),Rock Bag,Y,75,0.106,106,G,G2,,
Chile,Elqui,,SA-22,La Escondida Mine,MC0710,,"""Escondida near La Serena, Chile."" -D.F. Hewett",,"C.F. Park, Jr.", -29.84302 ,-71.09148,MRDS,10104658,,Reference Hand Sample(s),Rock Bag,N,45,0.076,76,G,G2,,
Cuba,Santiago de Cuba,,,Quinto Mine,MC0713,,,,John A. Straczek,20.12504,-75.55275,MRDS,10061234,,Reference Hand Sample(s),Rock Bag,Y,80,0.034,34,G,G2,,
Cuba,Guantánamo,,,Rosita Segunda Deposit,MC0714,,,,John A. Straczek,20.11949,-75.21079,MRDS,10061233,,Reference Hand Sample(s),Rock Bag,Y,75,0.102,102,G,G2,,
Cuba,Granma,,Cu-2,Charco Redondo Mine,MC0716,,,,,20.24337,-76.41915,MRDS,10061336,,"Reference Hand Sample(s),Powder",Rock Bag,Y,80,1.222,"1,222",G,G2,,
Morocco,Ouarzazate,,Mor-1,Tiouine Mine,MC0718,,,,,30.88293,-7.13168,MRDS,10090236,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,100,1.3,"1,300",G,G2,,
Morocco,Ouarzazate,,Mor-2,Imini Mine,MC0719,,,,,30.73294,-6.89835,MRDS,10024436,,"Reference Hand Sample(s),Powder",Rock Bag,Y,95,0.774,774,G,G2,,
Morocco,Meknès-Tafilalet,,Mor-5,,MC0722,,"""Tiaratine-E. of Midelt bed."" -D.F. Hewett",,,32.58282,-4.33164,MRDS,10003897,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,0.388,388,G,G2,,
Morocco,Ouarzazate,,Mor-8,Tiouine Mine,MC0724,,,,,30.88293,-7.13168,MRDS,10090236,,Reference Hand Sample(s),Rock Bag,Y,55,0.246,246,G,G3,,
Morocco,Taroudant,,Mor-11,Tasdremt Deposit,MC0727,,,,,30.58296,-8.03169,MRDS,10003901,,"Reference Hand Sample(s),Powder",Rock Bag,Y,65,0.258,258,G,G3,,
Morocco,Ouarzazate,,Mor-12,Imini Mine,MC0728,,,,,30.73294,-6.89835,MRDS,10024436,,"Reference Hand Sample(s),Powder",Rock Bag,Y,65,0.346,346,G,G3,,
Morocco,Ouarzazate,,Mor-13,Tachgagalt,MC0729,,,,,30.83293,-6.83168,MRDS,10090235,,"Reference Hand Sample(s),Powder,Pebble",Rock Bag,Y,70,1,"1,000",G,G3,,
India,Maharashtra,,I-1,,MC0730,,MRDS file encompasses area of Central Providence Prospecting Sydicate (MOIL) where Carnegie Steel Company obtained ore.,,,21.95506,80.05034,MRDS,10183457,,Reference Hand Sample(s),Rock Bag,Y,70,0.582,582,G,G3,,
India,Maharashtra,,I-3,,MC0731,,MRDS file encompasses area of Central Providence Prospecting Sydicate (MOIL) where Carnegie Steel Company obtained ore.,,,21.95506,80.05034,MRDS,10183457,,Reference Hand Sample(s),Rock Bag,Y,50,0.086,86,G,G3,,
India,Maharashtra,,I-4,,MC0732,,MRDS file encompasses area of Central Providence Prospecting Sydicate (MOIL) where Carnegie Steel Company obtained ore.,,,21.95506,80.05034,MRDS,10183457,,Reference Hand Sample(s),Rock Bag,Y,65,0.494,494,G,G3,,
Ukraine,Dnipropetrovsk Oblast,,Eu-8,,MC0736,,"Nikopolj, Dnipropetrovsk Obast, Ukraine",,,47.56508,34.41851,MRDS,60000565,,Reference Hand Sample(s),Rock Bag,N,35,0.3,300,G,G3,,
Hants County,Nova Scotia,,,Magnet Cove,MC0741,,"From Dresser Minerals Company, Walton, Nova Scotia",Reference_10,,45.20655,-64.04202,NCAT,,,Reference Hand Sample(s),Rock Bag,N,45,1.158,"1,158",G,G3,,
Hants County,Nova Scotia,,,Magnet Cove,MC0742,,"From Dresser Minerals Company, Walton, Nova Scotia",Reference_10,,45.20655,-64.04202,NCAT,,,Reference Hand Sample(s),Rock Bag,Y,55,1.578,"1,578",G,G3,,
Colchester County,Nova Scotia,,C-19,Five Islands Barite ,MC0743,,"Garbec Mines Limited samples from the Londonderry Vein, Five Islands, Nova Scotia",Reference_7,,45.47687,-63.60425,NCAT,,,"Reference Hand Sample(s),Powder",Rock Bag,N,40,0.99,990,G,G4,,
Colchester County,Nova Scotia,,C-19,Five Islands Barite ,MC0744,,"Garbec Mines Limited samples from the Londonderry Vein, Five Islands, Nova Scotia",Reference_7,,45.47687,-63.60425,NCAT,,,"Reference Hand Sample(s),Powder",Rock Bag,N,45,0.642,642,G,G4,,
Japan,Hokkaido,,J-12,,MC0751,,"Akan National Park, Hokkaido, Japan.",Reference_14,Yu Hariya,"43.40788, ",143.97391,ArcGIS,,,"Reference Hand Sample(s),Powder",Paper Bag,Y,100,0.016,16,G,G4,,
Japan,Kanto,,J-10,Hagidaira Mine,MC0752,,"""13 km southwest of Ashio Mine.""-T. Watanabe",Reference_3,"Takeo, Watanabe",36.58453,139.49274,ArcGIS,,,"Reference Hand Sample(s),Powder",Paper Bag,Y,95,0.182,182,G,G4,,
Philippines,,,,Minuit-Malawig Deposit,MC0767,,"""Malawig Tunnel 130 in Busuanga Island, Philippines""-R.K. Sorem",,R.K. Sorem,12.11041 ,119.99934,MRDS,10280800,,Reference Hand Sample(s),Paper Bag,N,35,0.196,196,G,G4,,
Australia,Shire of East Pilbara,,Misc-1,Woodie Woodie Mine,MC0769,,"Australian Mines Atlas, original coordinates in GDA94.",Reference_5,,-21.63547,121.24291,NCAT,,,"Reference Hand Sample(s),Powder",Rock Bag,Y,80,0.01,10,G,G5,,
Africa,,,Af-3,Nsuta Mine,MC0776,,"Ghana, Africa",,, 5.23454,-1.94856,MRDS,10024435,,Powder,Rock Bag,Y,90,0.236,236,G,G5,,
Africa,,,Af-1,Matthew's Ridge,MC0777,,"Guyana, Africa",,,7.53449,-60.16604,MRDS,10158522,,Powder,Rock Bag,Y,90,0.09,90,G,G5,,
Africa,,,Af-5,Mokta Mine,MC0778,,"Ivory Cost, Africa ore from Zone C-west in Mokta Mine.",,,5.31321,-5.39917,MRDS,10097588,,"Reference Hand Sample(s),Powder",Rock Bag,Y,55,0.238,238,G,G5,,
Africa,,,Af-6,Mokta Mine,MC0779,,"Ivory Cost, Africa ore from Zone Beast in Mokta Mine.",,,5.31321,-5.39917,MRDS,10097588,,"Reference Hand Sample(s),Powder",Rock Bag,Y,70,0.564,564,G,G5,,
Africa,,,Af-7,Nsuta Mine,MC0780,,"Ghana, Africa",,, 5.23454,-1.94856,MRDS,10024435,,Core Sample(s),Rock Bag,Y,50,0.032,32,G,G5,,
Greece,Drama,,G-3,Tartana Mine,MC0781,,"Ore from Tartana Mine, owned by Demitri Scalistiri in Drama, Greece",Reference_21,,41.37919,23.93128,ArcGIS,,,"Reference Hand Sample(s),Powder",Rock Bag,Y,75,0.462,462,G,G5,,
Greece,Drama,,G-5,Tartana Mine,MC0782,,"Ore from Tartana Mine, owned by Demitri Scalistiri in Drama, Greece",Reference_21,,41.37919,23.93128,ArcGIS,,,Reference Hand Sample(s),Rock Bag,N,45,0.419,419,G,G5,,
Pakistan,Balochistan,,H-1,,MC0783,,"Lasbela District, Balochistan, Pakistan",Reference_2,,26.76491,66.41027,ArcGIS,,,"Reference Hand Sample(s),Powder",Rock Bag,Y,65,0.728,728,G,G5,,
Pakistan,Balochistan,,SNJ-9,,MC0784,,"Lasbela District, Balochistan, Pakistan",Reference_2,Igbal Ali,26.76491,66.41027,ArcGIS,,,Reference Hand Sample(s),Rock Bag,Y,65,0.604,604,G,G5,,
Pakistan,Balochistan,,SNJ-1,,MC0786,,"Lasbela District, Balochistan, Pakistan",Reference_2,Igbal Ali,26.76491,66.41027,ArcGIS,,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,0.202,202,G,G5,,
Pakistan,Balochistan,,GID-I,,MC0787,,"Lasbela District, Balochistan, Pakistan",Reference_2,Igbal Ali,26.76491,66.41027,ArcGIS,,,Reference Hand Sample(s),Rock Bag,Y,50,0.282,282,G,G5,,
Pakistan,Balochistan,,SRI-2,,MC0789,,"Lasbela District, Balochistan, Pakistan",Reference_2,Igbal Ali,26.76491,66.41027,ArcGIS,,,"Reference Hand Sample(s),Powder",Rock Bag,Y,60,0.246,246,G,G5,,
Turkey,Zonguldek,,Tur-10,Kepez-Köy,MC0790,,"Zonguldek, Eregli, Turkey",Reference_22,,41.27882,31.89873,ArcGIS,,,"Reference Hand Sample(s),Powder",Rock Bag,Y,90,0.63,630,G,G6,,
Turkey,Zonguldek,,Tur-2,Kepez-Köy,MC0792,,"Zonguldek, Eregli, Turkey",Reference_22,,41.27882,31.89873,ArcGIS,,,Reference Hand Sample(s),Rock Bag,Y,70,0.15,150,G,G6,,
Turkey,Zonguldek,,Tur-6,Soganliyuruk,MC0793,,"Zonguldek, Eregli, Turkey",Reference_22,,41.20362,31.81268,ArcGIS,,,Reference Hand Sample(s),Rock Bag,Y,80,0.076,76,G,G6,,
Eureka County,,Nevada,NE-27,Zenoli Mine,MC0794,,Safford District,,,40.56741,-116.25814,MRDS,10044738,,"Reference Hand Sample(s),Powder",Rock Bag,N,40,0.464,464,G,G6,,
Eureka County,,Nevada,NE-27,Zenoli Mine,MC0795,,Safford District,,,40.56741,-116.25814,MRDS,10044738,,Reference Hand Sample(s),Rock Bag,Y,80,1.198,"1,198",G,G6,,
Bouse,,Arizona,AR-13,Black Chief Mine,MC0796,,,,,33.93695,-114.08829,MRDS,10259133,,Reference Hand Sample(s),Rock Bag,Y,75,0.84,840,G,G6,,
Mexico,,Chihuahua,M-29,Virginia Mine,MC0797,,Terrenates District,,,29.6991,-106.79389,MRDS,10104183,,Reference Hand Sample(s),Rock Bag,Y,60,0.888,888,G,G6,,
Nevada County,,California,Cal-164,Smith Mine,MC0798,,,,,39.02156,-121.10492,MRDS,10031697,,Reference Hand Sample(s),Rock Bag,N,45,1.88,"1,880",G,G6,,
Fairbanks,,Alaska,Al-2,Pedro Dome,MC0799,,Pedro Creek,,,65.00527,-147.51265,MRDS,10232901,,Reference Hand Sample(s),Envelope,N,30,0.006,6,G,G6,,
Mexico,,Hidalgo,M-14,Molango Mine,MC0500,,"Acoxcatlan, Taman Formation",,,20.83386,-98.73361,MRDS,60001850,,Reference Hand Sample(s),Rock Bag,N,40,0.906,906,G,G6,,
Aguila District,,Arizona,#132,Ose Este,MC0018,,,,,33.75368,-111.37765,MRDS,10209986,,"Reference Hand Sample(s),Powder",Rock Bag,Y,50,0.102,102,G,G6,,
Humboldt County,,Nevada,NE-29,,MCO131,,"""Approx 6 miles N.W. of Golconda on flood plain of Humboldt River."" D.F. Hewett",,,40.9888956,-117.5823037,PLSS,,"N.E. Section 12, T36N, R39E","Sand, Pebble",Paper Jar,N,35,0.098,98,G,G6,,
